<<<<<<< HEAD
﻿Reviews,Customer Rating,GPT4o,Manual,Gemini 1.5 (Pro)
Mua đơn hàng 1tr2 mà ko tặng đế như shop quảng cáo. Nt hỏi shop đã đọc mà ko tl khách hàng. Lựa shopmall mua mà còn thái độ như vậy nữa. Ko có bao nhiêu tiền mà để sao thì buôn bán cho uy tín. ,1,negative,negative,negative
đàm thoại không được dù wifi rất mạnh,1,negative,negative,negative
"Thích chân đế nam châm., Dễ cài đặt và sử dụng., Thiết kế nhỏ gọn và sang trọng.,",4,positive,positive,positive
Mua camera + thẻ nhớ 64 gb mà shop giao hàng camera + thẻ nhớt 32gb. Nhắn tin cho shop không thèm trả lời khách hàng.Shop làm ăn treo đầu dê bán thịt chó ,1,negative,negative,negative
"Mua 2 cái, 1 cái lỗi thè lè, gửi lại để chỉnh cũng k chỉnh, hoàn lại cho khách hàng y chang như vậy về cũng k dùng được, phải đem ra tiệm để sửa lại, lỗi cắm dây nguồn k vô. Hoá đơn thì chở 2 tuần rồi k thấy gửi. Làm ăn sống nhăn, chán quá chán. Lần đầu mua lazada ớn tới già. Cam thì k có tem mác chính hãng. ",1,negative,negative,negative
"Thiết kế nhỏ gọn và sang trọng., Phát hiện âm thanh bất thường hiệu quả., Kết nối WiFi kém ",4,neutral,neutral,neutral
"camera tốt, nhưng không có góc rộng, không có đàm thoại 2 chiều ",4,negative,neutral,negative
Camera sài rắc rối không đơn giản như mấy camera Xiaomi. Thấy giá sale rẻ mua trải nghiệm thôi ,3,neutral,negative,negative
"Dễ cài đặt và sử dụng., Tùy chọn lưu trữ tiện lợi., Phát hiện âm thanh bất thường hiệu quả., Chất lượng hình ảnh rõ ràng và sắc nét.,  ",4,positive,positive,positive
khó cài đặt ko kết nôid được 5g nói chung là quá tệ ,1,negative,negative,negative
"Chất lượng sản phẩm:  ở mức tạm, dù sao cũng là sản phẩm giá rẻ nên cũng không đòi hỏi thêm tính năng gì.",4,neutral,neutral,neutral
sao lắp thẻ nhớ ..mua cùng camera.. mà không xem lại được..kêu phát lại thất bại là sao.. bắt mua gói lưu trữ.. ,4,negative,negative,negative
"mua nhưng chưa dùng, tạm đánh giá trước, lần sau sẽ đánh giá cụ thể hơn. ",4,neutral,neutral,neutral
"Bắt wifi tốt, ảnh nét (full hd). không có loa nên ko có đàm thoại 2 chiều, không báo động ...nên giá như vậy là hơi cao ",4,negative,positive,neutral
Phát hiện con người kém ,2,negative,neutral,negative
"Hàng nguyên box đúng mã nhìn chắc chắn, mỗi cái shop không dán tem của cửa hàng, nhận viên giao hàng nhiệt tình,.... Shop còn nhiệt tình gửi quà tặng kèm hàng. Sản phẩm không có đàm thoại 2 chiều. Tks! ",4,positive,positive,positive
"Lưu ý  con này là H264B , không được H265. Đã nhận được sản phẩm nguyên vẹn, đóng gói kĩ, giao nhanh . Sản phẩm hoạt động tốt. Thấy miêu tả ghi có quà tặng, nhưng khi nhận sản phẩm lại không thấy. Tôi mua 04 cái cùng 1 đơn nhưng ko có quà tặng nào.",4,neutral,neutral,neutral
hài long ,4,positive,positive,positive
"ok, không có đàm thoại 2 chiều",4,neutral,neutral,neutral
"camera tạm đc về hình ảnh nhưng không có ghi âm và đàm thoại 2 chiều. không có báo động âm thanh khi có chuyển động, mọi người cân nhắc lại trước khi mua. xem hình sẽ thấy nhé",3,negative,negative,negative
cam cũng nèt nhưng không đuợc 2mp như QC . cài đặt thì  kén wifi nhà mình 2 wifi bình thường nhưng cái nhận cái không,4,negative,neutral,negative
"Dùng được chứ chưa ngon lắm, bởi mã này không có đàm thoại 2 chiều nhe bà con. Nhu cầu lắp gọn, quan sát không để người khác để ý thì ok, dùng cũng ổn. Tiền thẻ nhớ cũng gần bằng giá trị con Camera rồi...  ",3,neutral,neutral,neutral
Sản phẩm bị hư chức năng hồng ngoại nên ko xem được khi ko có ánh sáng. ,2,negative,negative,negative
Sp bị lỗi hông ngoại và k cho trả hàng.Sợ luôn.cạch shop tới già,2,negative,negative,negative
mới nhận được hàng trưa cài đặt trưa đánh giá được chất lượng âm thanh và hình ảnh ,4,positive,neutral,neutral
"Độ phân giải: Mặc dù đã nhận được hàng nhưng phải nói là quảng cáo mô tả ko đúng. Mẫu này ko hề có H.265 như mô tả, chỉ là H.264. Thông số fps max là 20fps chứ không hề được 25 hay 30 như mô tả. bán hàng công nghệ mà ghi thông số kĩ thuật vớ vẩn lòe. ",1,negative,negative,negative
đổi trả vì không có đàm thoại nhưng lại từ chối chày cối sử dụng không có đàm thoại cũng được tạm ổn ,3,neutral,neutral,negative
Đế không có nam châm,3,negative,neutral,negative
"Camera k có đế nam châm, k có miếng sắt kèm theo mua nhiều rồi những lần sau hàng lỗi ",1,negative,negative,negative
"Xin shop mã camera có đế nam châm, shop gửi link camera đế ko có nam châm. Nhận hàng xong phát hiện camera ko có nam châm, phản ánh thì shop bảo shop gửi sai link, shop bảo gửi trả hàng lại shop gửi cho cái khác có nam châm nhưng phải bù 100k, quá chán, rắc rối và quy trình mất thời gian quá nên thôi bỏ xó luôn. Qua shop khác mua cũng mã đó nhưng giá lại rẻ hơn. Dòng camera mày xứng đáng 5 sao nhưng riêng shop xin phép cho 1 sao.",1,negative,negative,negative
"của mình bị như này. thử đủ kiểu vẫn như vậy. kbiet do.c ái j nữa, thẻ k lỗi vẫn báo 64g",1,negative,negative,negative
K có miếng sắt.chán quá,3,negative,negative,negative
hàng mua về không kết nối được,1,negative,negative,negative
để không hít nam cham ,4,negative,neutral,negative
"không có đàm thoại 2 chiều, cong nguon mini usb chứ ko phải type C ",1,negative,negative,negative
mua 4 cái và mua thẻ nhớ 64g gửi cho 4 cái 32g shop làm ăn rất tệ cho 1 sao  ,1,negative,negative,negative
"CHỈ CÓ THỂ NÓI LÀ CHO 1 sao, ko thể tức hơn dc ",1,negative,negative,negative
chưa dùng  ,1,neutral,neutral,neutral
"chất lượng thì ổn trong tầm giá Tính năng đàm thoại hai chiều tiện lợi, nhưng cam ko đc nét lắm. thẻ 64g nhưng đc có 60g  ",4,neutral,positive,neutral
"tui mua và lắp cho khách rất nhiều lần của 1 shop khác rồi , rất ok nhưng riêng shop này tui thấy khá thất vọng .lần đầu muq thử shop này để lắp nhưng lỗi tùm lum ,mà vấn đề xử lý đổi trả ko có sự linh động từ shop này . mn nên tránh hoặc cân nhắc trc khi mua shop này . thiếu uy tín và trách nhiệm ,hàng thì lỗi từ máy tới thẻ . shop làm như vậy rất mất uy tín , nên mn nên cân nhắc kỹ trc khi mua bên đây  ",3,negative,negative,negative
"Camera OK, giao nhanh, chỉ có đế là thiếu phụ kiện nên ko lắp camera vào dc. Shop gửi lại nha ",3,neutral,neutral,neutral
"  chậm lag quá trời luôn. Luôn chậm hơn so với thực tế. Mua của shop nhiều rồi, cũng nhắn tin cho shop nhưng shop nói bên chăm sóc gọi lại mà đợi 2 ngày từ lúc nhắn tin với shop mà mất hút luôn nên mới đánh giá thấp. Trả hàng thì đơn giản nhưng mất time ",2,negative,negative,negative
Cam còn nguyên seal mà khui ra thiếu mấy cái  năp bắt cam chán dễ sợ ,3,negative,negative,negative
"Camera xử lý tác vụ quay trái phải, lên xuống rất chậm ko theo lệnh điều khiển! Xài chán lắm! Phải thay cái khác thôi.Thiết kế bền vững và lâu bền,  ",2,negative,negative,negative
1 sao vì giao chậm đợi mãi mới giao ,1,negative,negative,negative
Giao hộp bị móp quá shop ,4,negative,negative,negative
thẻ nhớ mua kèm .ko phải imou .ko thích lắm ít hơn thẻ khác 1gb camera phiên bản này ko nét hình ảnh bị vỡ hơn loai 2 mp,3,negative,negative,negative
"Hình ảnh mờ và bị màu đỏ, không thể kết nối với mạng Wifi chỉ kết nối với mạng Wlan, quá tệ mua về tốn tiền ",1,negative,negative,negative
qnove. strap very hard. not comfortable wearing.  ,4,negative,negative,negative
Đẹp nhất là dây đeo. Đồng hồ ổn tuy nhiên được làm bằng nhựa và còn hiện rõ viền mất thẩm mỉ,4,neutral,neutral,neutral
"với giá này thì khá ok, tạm thời thấy ổn, về lâu dài dùng mới biết. cho 4 sao đã",4,neutral,positive,positive
"đồng hồ rất đẹp , mặt sáng đèn rõ trong tối, hơi nhẹ, đóng gói cẩn thận",4,positive,positive,positive
xài dc 1 tuần. cái nút hư rùi ,4,negative,negative,negative
"đồng hồ màu đẹp, số và dây đeo okay. Dây hơi dài nhưng có thể cắt mắt được. Hợp lý về giá cả , độ bền còn chờ vào thời gian sử dụng sắp tới. Cảm ơn shop đã bán sản phẩm tốt 3",4,positive,positive,positive
ok đẹp,4,positive,positive,positive
không có hộp ,4,negative,neutral,negative
đủ chức năng ok giá rẻ aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,4,neutral,positive,positive
dây rộng quá trời.tốn công đi cắt. chất lượng rất ok.hợp giá tiền,4,negative,positive,neutral
"sp nhẹ ,chưa sd tạm cho 4 sao",4,neutral,positive,neutral
Hợp với giá tiền ,4,positive,positive,positive
"sản phẩm đẹp, vừa túi tiền.",4,positive,positive,positive
Đúng màu ok,4,positive,positive,positive
"phù hợp giá tiền, mỗi tội mặt đồng hồ vỏ bằng nhựa .",4,neutral,neutral,neutral
"Shop giao hàng nhanh, chữ mờ, không nổi rõ đẹp như hình. Đã dùng gần 1 tháng  chạy ổn định tốt.",4,neutral,positive,neutral
"đẹp, mà đặt báo thức s k đc thế ạ. shop chỉ e, cứ mặc định 12h đêm AL v vs cái giờ DT là gì v ah. cx k chỉmh đc",4,negative,neutral,negative
"Không có phiếu bảo hành, mặt bên đồng hồ bị xước nhẹ",3,negative,negative,negative
hàng dởm. mua về thì ok mà dùng chưa đc tuần thì nút nhấn bị lệch ra ngoài nhiều. đáng thất vọng. tôi nghĩ mn nên suy nghĩ thật kĩ trước khi mua sp này ạ,2,negative,negative,negative
mới thử nước nhưng không biết có vô nước không để thời gian trả lời vậy. khoản 30p sau thấy có nước ,2,neutral,neutral,positive
Không có được cái hộp.,1,negative,neutral,negative
nhận hàng xong đem cho người ta luôn.,3,neutral,neutral,neutral
tam ok ,3,neutral,neutral,neutral
Hàng như đồ trẻ con ,2,negative,negative,negative
Ok ,3,neutral,neutral,neutral
"hộp không có thương hiệu, không có thẻ bảo hành, không có tem bảo hành mặt sau đồng hồ. giao hàng đểu.",2,negative,negative,negative
Chán.,1,negative,negative,negative
hát cũng tạm ổn. tiếng ko vang ko thanh lắm. hát chơi thì ok. nhưng mà dây cáp sac bị hư rồi nha shop ,4,neutral,neutral,neutral
"tại sao mới dùng đc một ngày ,mà khi tôi cắm chân sạc vào mic mà nó lại ko lên màu đỏ nữa,mãi mà nó chả lên.Ko biết do sản phẩm hay do chân sạc ",3,negative,negative,negative
shop ơi sao mic của mk bị hỏng 1 cái rồi 😭 ,3,negative,negative,negative
mic nhanh hỏng😡 ,3,negative,negative,negative
Giao đo hư gọi kg bắt máy tránh xa shop này khôn nąn bán đồ kg xài được lazada sắp dep kg bảo vê khách hàng ,1,negative,negative,negative
shop này bán loa ko hát đc ko nên mua nt ko trả lời .tránh shop này ra ko nên mua đồ dỏm ,1,negative,negative,negative
loa nghe nhỏ quá  ,2,negative,neutral,negative
Chất lượng âm thanh: thiếu âm bass. Tiếng vang ko mượt. Nghe khô. Kiểu dáng: mic A tốt mic B đồ chơi bằng mũ,3,negative,negative,negative
"Hàng như 🆑,đéo phải đt hay ip j dou,dm dc cái mã giảm giá nhma che mẹ số rồi,tốt nhất k nên mua ",1,negative,negative,negative
"có một sự ấn tượng không hề nhẹ, mất mấy mươi nghìn chỉ đổi lấy một quyển sổ. ",1,negative,negative,negative
"Thiết kế mềm mại, hoàn hảo cho người dùng hiện đại ",1,positive,positive,positive
Lừa đảo ko nên mua m.n a bực mình🖕🖕😡😡😡😡 ,1,negative,negative,negative
Lừa đảo! Giao hàng không đúng sản phẩm! ,1,negative,negative,negative
lừa đảo nha  ,1,negative,negative,negative
lười đảo ,1,negative,neutral,negative
"shop giao đúng hàng, chưa dùng thử nên chưa biết chất lượng ra sao. Shop đóng gói sơ sài, chỉ quấn giấy carton và 1 lớp băng keo.",4,neutral,neutral,neutral
Động cơ yếu ko sử dụng được.,3,negative,negative,negative
"giao hàng kg đúng như quảng cáo, trong hình là động cơ 4 lổ nhưng khi giao loại hai lỗ nên bay kg nổi ",2,negative,negative,negative
Không đồng nhất e88 vì vậy k bay đc ,1,negative,negative,negative
yếu quá ..máy nóng ,2,negative,negative,negative
giao nhầm.hàng rồi shop.ơi,3,negative,negative,negative
Giao hang khong chay,2,negative,neutral,negative
Lừa đó nha anh em ,2,negative,neutral,negative
"Shop lừa đảo, mua motor mà gửi bánh răng ????",1,negative,negative,negative
"Đăng hình thấy 4 cái có nhong, nhưng thực nhận chỉ có 1 cái không nhong? Trong khi thông tin bán không rõ ràng? Giống lừa khách hàng. ",2,negative,negative,negative
giao thiếu hàng,1,negative,negative,negative
bán hàng kiểu gì  mà mua sl 3 giao có 1 cái 2**,2,negative,negative,negative
bánh như cc,1,negative,negative,negative
đăng hình thì 4 cái nhưng giao chỉ 1 cái nha mn nt hỏi bao nhiêu cái thì hk tl đâu nhe nhận hàng thi mới tl,1,negative,neutral,negative
Shop không quy tính mọi người đừng mua ,1,negative,negative,negative
"Quảng cáo 4 cái, giờ giao có 1 là sao Shop. Đồ lừa đảo.",1,negative,negative,negative
"đặt màu xanh mà giao màu đen, gửi tin nhắn báo mình đã đổi màu dùm mình,măc dù là trước mình bảo không nhận vẫn giao,shiper tới phải nhận thôi chứ ko tội shiper còn shop ko có hàng thì tắt đừng để màu xanh nữa.Đăng chi mà đặt ko có và tự ý bảo đổi màu đã đóng gói ko hủy đơn được.Như kiểu ép buộc ngta lấy màu đen ",4,negative,negative,negative
"Treo đầu dê bán thịt chó. Đăng bán 2 cổng nhưng giao loại 1 cổng. Khách gửi đổi thì báo không còn loại 2 cổng, bảo khách dùng tạm hoặc bán cho ai đó, giống như ép phải lấy.  ",1,negative,negative,negative
"Giao sai màu vì kho hết hàng nhưng không báo người mua. Tự ý giao màu khác mà k hỏi ý khách hàng. Chăm sóc khách hàng vô cùng tệ, trả lời chậm. Sẽ không quay lại mua ",1,negative,negative,negative
Shop không có thiện chí giải quyết vấn đề. Shop này chắc bán hàng nhái. Ko có sdt liên hệ. ,1,negative,negative,negative
"shop giao hàng không đúng như đơn hàng: sai màu và sai luôn cả dòng sản phẩm. nhưng không cho đổi hàng mới vì lý do hộp đã bốc seal?? bản thân shop là người giao sai đơn lại còn bắt bẻ chuyện khách hàng mở nắp hộp. Lý do về việc không đồng ý trả hàng cũng note vọn vẹn ""open seal"". Việc mở nắp hộp để xem bên trong có gì khi shop giao sai sản phẩm là điều rất bình thường. sẽ không tiếp tục mua sắm ở đây, và mọi người cũng cần lưu ý vấn đề bốc seal này, mặc dù là Lazada Mall nhưng cách take care khách hàng không hợp lý, không bằng một góc như những gian hàng khác! ",1,negative,negative,negative
Sản phẩm rất tệ. Sạc 10% đã tụt cần hết pin của cục sạc. K lên pin dc ,1,negative,negative,negative
"sạc dự phòng bị lỗi mình đổi trả hàng mà không được,shop nói không quay video lại nên không có bằng chứng đổi trả,trong khi đó shop không yêu cầu quay video lại khi mở hộp hàng  ",1,negative,negative,negative
"Mình có việc nên giờ mới nhận hàng nhưng Giao sai hàng cho mình, là loại rẻ hơn, 1 giắc type C. Mình cần giắc iphone nên mua loại này cho tiện mà giao sai. Mình có nt nhưng chưa thấy phản hồi ",1,negative,negative,negative
cái gì đây trời. hay trả hàng luôn cho rồi đây ta. từ shop cho đến laz như qq ,1,negative,negative,negative
"Lần đầu tiên mình đánh 1 shop sau nhiều năm mua hàng.Mình đặt màu xanh vì thích nhưng shop chỉ nt nói rằng hết xanh sợ đợi lâu nên đổi qua đen.Ủa là sao đâu phải lúc nào mình cũng xem tn đâu.Thay vì nt shop dt trực tiếp.Nếu đọc được tn mình đã hủy đơn ngay và luôn rồi.Cảm giác như bị lừa,như ép khách phải lấy không có sự lựa chọn? ",1,negative,negative,negative
Đặt màu Tím mà giao màu Trắng ,1,negative,neutral,neutral
"Sản phẩm lỗi, cục sạc dự phòng sạc 17 tiếng lên được 30%???? Thế thì biết bao giờ mới đầy? Nhắn tin shop không phản hồi. Sạc đắt chứ có rẻ đâu mà CSKH chán vậy?????? ",1,negative,negative,negative
hello my order is 20000 mAh but I recieved 10000 mAh only. I return to the seller and ask for the replacement but the seller rejected my return and didn't change the correct item that I order. ,1,negative,negative,negative
đặt màu tím giao màu trắng ,1,neutral,neutral,neutral
"shop để có màu tím mà trong khi đó mình đặt rùi báo mình hết màu tím , rùi không có gửi quà bù đắp cho khách hàng, phục vụ tệ , mai mốt mình chuyển qua mua hiệu khác ",2,negative,negative,negative
Hans n nxnsnsncn no znnc n nnxsuususxjjxxnxnxnxnxnxnxxnxnnx ,2,neutral,neutral,neutral
"Tôi đặt 2 pin, 1 màu xanh 1 màu tím. Nhưng tôi lại nhận cả hai cái đều màu xanh. Giao hàng cũng trễ. Theo thông tin là 13/6 giao hàng. Nhưng đến 16/6 tôi mới nhận hàng.  ",2,negative,negative,negative
"Đã nhận dc hàng, mới sài nên thấy cũng ổn, Sạc dc khoảng 3 lần thì pin nó bị sao á, xạc đầu pin dự phòng mà ko sạc đầy lại dc cho ip xr, hình như nó bị lỗi thì phải, do đã dem đi xa nên ko đổi trả dc. Shop trước khj giao cũng kiểm tra cận thận trước khj giao tới khách hàng ",3,negative,negative,negative
"Sạc nhanh khi di chuyển, Sạc PD công suất mạnh 225W, Cần thiết cho những người đi du lịch, shop mình nhận hàng như đem ra sạc vào rất chậm mình để nguyên đêm có 20% bin sạc vào. shop co hỗ trợ gấp..... ",3,negative,negative,negative
"Giao sai màu ) khi giao đến shop mới báo hết màu tím, không cho mình cơ hội chọn màu khác luôn. Nhưng màu trắng cũng đẹp, hy vọng dùng được lâu dài. Chê thái độ làm việc của shop nha ) ",3,neutral,neutral,negative
"đặt màu xanh mà giao màu đen, gửi tin nhắn báo mình đã đổi màu dùm mình,măc dù là trước mình bảo không nhận vẫn giao,shiper tới phải nhận thôi chứ ko tội shiper còn shop ko có hàng thì tắt đừng để màu xanh nữa.Đăng chi mà đặt ko có và tự ý bảo đổi màu đã đóng gói ko hủy đơn được.Như kiểu ép buộc ngta lấy màu đen ",4,negative,negative,negative
"Nhỏ gọn và dễ mang theo, Cáp tích hợp tiện lợi, Sạc nhiều thiết bị cùng lúc,  ",4,positive,positive,positive
giao sai màu ,4,negative,negative,neutral
Ifjhjfksjcjrjfiigufjjfhdjjvhejjcfjjsjjejigifjfjfngjdjx ,4,neutral,neutral,neutral
Mới dùng được 1 ngày thấy sạc nhanh hết pin lém va khi giao có 36% pin.ngoại hình đẹp  ,4,negative,positive,negative
Sạc 22.5w nhưng chậm k nhanh. ,4,negative,negative,negative
Đến nhanh. Chất lượng tốt ,1,positive,positive,positive
2⁹,2,neutral,neutral,neutral
giao hàng đúng sản phẩm nhưng chưa sử dụng chưa biết có xài được k  ,3,neutral,neutral,neutral
Mình đặt 2 sản phẩm sao lại giao có 1. Shop kiểm tra lại giúp mình nhé ,3,neutral,neutral,negative
Chất lượng: ok  Độ phân giải ok cơ bản là Ok với giá tiền như thế này thì quá là rẻ ,4,positive,positive,positive
Chất lượng: sản phẩm nhựa nhẹ. Mỏng  Chất liệu: Ngựa cứng  Độ phân giải: Sản phảm chỉ điều chỉnh âm thanh. Chuyển kênh. Thiếu chức năng như zin,4,negative,negative,negative
Tot  Chất lượng:  tot ,4,positive,positive,positive
nãn,1,negative,neutral,negative
mua 1406 giao 1306,1,neutral,neutral,neutral
"điều khiển liệt ko dùng được, ko nên mua ",1,negative,negative,negative
Không kèm ăng ten như quảng cáo. Nhà bán hàng cố tình đánh lừa người mua.  ,2,negative,negative,negative
Sử dụng được ba ngày thì remonte không có tác dụng  ,2,negative,negative,negative
"Đặt mua model 1406, giao loại 1306. Cũng không có kèm theo ăngten và 15m dây như đã ghi. ",2,negative,negative,negative
giao không đúng mẫu  ,3,negative,negative,negative
hài lòng ,4,positive,positive,positive
giao hàng nhanh. máy mới còn về chất lượng sp thì tg sẽ đánh giá,1,neutral,positive,neutral
Shop chăm sóc hỗ trợ KH rất tốt và uy tín  ,1,positive,positive,positive
Lừa đảo Không phải máy hiệu DELL 100% là hàng china dôm,1,negative,negative,negative
Đơn hàng   nhận rồi nhưng vài tuần nay vẫn chưa nhận hóa đơn. Liên lạc nhiều lần không thấy shop trả lời. Nhờ shop vui lòng check và xuất hóa Đơn tài chính theo thông tin đã gửi  Cám ơn,1,negative,negative,negative
"CPU - Hệ điều hành：máy mở xai không được, cần Lazada9 ở và người bán xử lý thay máy, kiểm tra chất lượng hàng kĩ trước đóng giao hàng, không xử lý máy có vấn đề cho khách., chỉ nhận góp ý nhưng không thấy thực hiện thật .., chu đáo xử lý vấn đề..",1,negative,negative,negative
"chán quá cây máy tính Ổ VCD thì bị hỏng, đời Máy thấp quá nên chạy rất chậm,chất lượng k được tốt, mua giá dính đắt quá thật buồn. loại này chỉ đáng 3 triệu, mình mua dính giá hơn 4 triệu tưởng được cây máy tính đời cao ai ngờ dính ngay cây đểu, bán hàng mất uy tín quá.",1,negative,negative,negative
"các bạn không nên mua, shop này buôn bán không uy tín. mua được hơn tháng  trục trặc 2 lần, trục trặc lần đầu nhắn tin có trả lời, trục trặc lần 2 ( bệnh khác lần 1) nhắn tin nhờ hỗ trợ shop không thèm trả lời,chờ 4 ngày vẫn im re. ",1,negative,negative,negative
cấu hình không đúng gì quảng cáo sẽ gây hiểu nhầm cho người mua. mọi người cần cảnh giác,2,negative,negative,negative
Bật lên mà như bị treo máy,2,negative,negative,negative
"máy lỗi ko khởi động được, báo với shop shop kêu tháo ram ra lắp lại mà ko nói tháo lắp ntn, mà tháo lắp mất bảo hành thì sao, nhắn tiếp thì shop ko trả lời luôn, cho shop 2* vì phục vụ",2,negative,negative,negative
Case nhìn cũ quá. Quạt cpu kêu rào rào. ,3,negative,negative,negative
Sao máy mua là core i7 mà vỏ lại là i3 hả shop ?,3,negative,neutral,negative
"hàng đóng gói cẩn thận, giao tiếp khách hàng thân thiện . tuy nhiên hàng bị lỗi nên được đổi trả .việc gởi trả hàng và đổi hàng khác sẽ mất quá nhiều thời gian , ảnh hưởng đến kế hoạch sử dụng sản phẩm của khách hàng ",3,negative,neutral,negative
"máy lắp ráp, không phải máy bộ",3,neutral,neutral,neutral
"Giao hàng nhanh, mua về chưa dùng nên chưa biết được. Để vài bữa kéo mạng về đã Cứ cho shop 4 sao nhé",4,neutral,neutral,neutral
"Khá hài lòng do model thiếu cổng HDMI, shop có thể tư vấn cho khách phần này vì hiện thời điểm bây giờ màn hình hầu hết đều dùng có cổng HDMI. Góp ý 1 chút như vậy. Cho shop 4 sao nhé.",4,neutral,positive,positive
"Chất lượng phù hợp trong tầm giá, xong tư vấn chưa chuyên nghiệp, combo quên lót chuột",4,neutral,neutral,neutral
"Máy chạy mượt, ổn định, tạm thời đánh giá tốt! (máy hết pin, mua viên pin tốn thêm 30k)",4,neutral,positive,positive
"bật lên chạy một lúc, lúc tắt máy thì window update, update xong mở lên lại thì dính lỗi này, quét QR code thì ra lỗi màn hình xanh... web Microsoft dạy vào safe mode, nhưng vô safe mode cũng không được. Mong shop hướng dẫn fix lỗi hoặc cho mình đổi trả. P/s: shop kêu mình đem ra tiệm cài lại win. Fix được rồi nhưng hơi tốn 😓",4,negative,negative,negative
thiếu dây kết nổi vào màn hình ,4,negative,neutral,negative
Máy xinh dễ thương. Mà k chơi đc. Kiếm nhà bán hàng hỗ trợ k ra. Có 10k nhưng khá thất vọng ,1,negative,negative,negative
Kiểu dáng:bé tí tẹo chả thấy gì cả. Mua phí tiền djfjf,1,negative,negative,negative
"Màn hình bị hư, không thể sử dụng được, thật thất vọng về sản phẩm  ",1,negative,negative,negative
không dùng đuoc ,1,negative,negative,negative
Quá nhỏ! Nhìn một tí hoa cả mắt! ,1,negative,negative,negative
hết pin ,2,negative,neutral,negative
"máy nhỏ quá đi, dễ hư mắt. ",3,negative,negative,negative
